,Transcript stable ID
0,ENSDART00000000005
1,ENSDART00000000042
2,ENSDART00000000069
3,ENSDART00000000070
4,ENSDART00000000192
5,ENSDART00000000198
6,ENSDART00000000221
7,ENSDART00000000564
8,ENSDART00000000566
9,ENSDART00000000595
10,ENSDART00000000670
11,ENSDART00000000744
12,ENSDART00000000876
13,ENSDART00000000887
14,ENSDART00000001053
15,ENSDART00000001092
16,ENSDART00000001098
17,ENSDART00000001201
18,ENSDART00000001253
19,ENSDART00000001320
20,ENSDART00000001376
21,ENSDART00000001444
22,ENSDART00000001649
23,ENSDART00000001691
24,ENSDART00000001737
25,ENSDART00000001795
26,ENSDART00000001803
27,ENSDART00000001830
28,ENSDART00000001995
29,ENSDART00000002000
30,ENSDART00000002027
31,ENSDART00000002029
32,ENSDART00000002096
33,ENSDART00000002176
34,ENSDART00000002186
35,ENSDART00000002232
36,ENSDART00000002279
37,ENSDART00000002296
38,ENSDART00000002299
39,ENSDART00000002334
40,ENSDART00000002393
41,ENSDART00000002398
42,ENSDART00000002401
43,ENSDART00000002449
44,ENSDART00000002469
45,ENSDART00000002498
46,ENSDART00000002501
47,ENSDART00000002554
48,ENSDART00000002556
49,ENSDART00000002571
50,ENSDART00000002595
51,ENSDART00000002617
52,ENSDART00000002691
53,ENSDART00000002714
54,ENSDART00000002728
55,ENSDART00000002750
56,ENSDART00000002763
57,ENSDART00000002767
58,ENSDART00000002770
59,ENSDART00000002773
60,ENSDART00000002826
61,ENSDART00000002835
62,ENSDART00000002842
63,ENSDART00000002851
64,ENSDART00000002866
65,ENSDART00000002867
66,ENSDART00000002886
67,ENSDART00000002922
68,ENSDART00000002932
69,ENSDART00000002938
70,ENSDART00000002945
71,ENSDART00000002949
72,ENSDART00000002961
73,ENSDART00000002965
74,ENSDART00000002966
75,ENSDART00000002992
76,ENSDART00000003133
77,ENSDART00000003164
78,ENSDART00000003167
79,ENSDART00000003170
80,ENSDART00000003181
81,ENSDART00000003221
82,ENSDART00000003252
83,ENSDART00000003273
84,ENSDART00000003278
85,ENSDART00000003296
86,ENSDART00000003314
87,ENSDART00000003338
88,ENSDART00000003346
89,ENSDART00000003422
90,ENSDART00000003428
91,ENSDART00000003465
92,ENSDART00000003475
93,ENSDART00000003482
94,ENSDART00000003517
95,ENSDART00000003543
96,ENSDART00000003548
97,ENSDART00000003583
98,ENSDART00000003618
99,ENSDART00000003674
100,ENSDART00000003690
101,ENSDART00000003715
102,ENSDART00000003716
103,ENSDART00000003745
104,ENSDART00000003752
105,ENSDART00000003879
106,ENSDART00000003884
107,ENSDART00000003891
108,ENSDART00000003929
109,ENSDART00000003932
110,ENSDART00000003939
111,ENSDART00000003957
112,ENSDART00000003962
113,ENSDART00000003978
114,ENSDART00000003993
115,ENSDART00000003994
116,ENSDART00000004013
117,ENSDART00000004023
118,ENSDART00000004031
119,ENSDART00000004034
120,ENSDART00000004041
121,ENSDART00000004052
122,ENSDART00000004120
123,ENSDART00000004217
124,ENSDART00000004233
125,ENSDART00000004273
126,ENSDART00000004284
127,ENSDART00000004357
128,ENSDART00000004390
129,ENSDART00000004423
130,ENSDART00000004462
131,ENSDART00000004474
132,ENSDART00000004514
133,ENSDART00000004539
134,ENSDART00000004622
135,ENSDART00000004664
136,ENSDART00000004679
137,ENSDART00000004689
138,ENSDART00000004692
139,ENSDART00000004712
140,ENSDART00000004721
141,ENSDART00000004735
142,ENSDART00000004739
143,ENSDART00000004756
144,ENSDART00000004769
145,ENSDART00000004779
146,ENSDART00000004782
147,ENSDART00000004812
148,ENSDART00000004816
149,ENSDART00000004842
150,ENSDART00000004848
151,ENSDART00000004879
152,ENSDART00000004896
153,ENSDART00000004899
154,ENSDART00000004908
155,ENSDART00000004923
156,ENSDART00000004959
157,ENSDART00000004964
158,ENSDART00000004986
159,ENSDART00000005015
160,ENSDART00000005067
161,ENSDART00000005086
162,ENSDART00000005118
163,ENSDART00000005119
164,ENSDART00000005127
165,ENSDART00000005143
166,ENSDART00000005158
167,ENSDART00000005168
168,ENSDART00000005217
169,ENSDART00000005263
170,ENSDART00000005288
171,ENSDART00000005292
172,ENSDART00000005329
173,ENSDART00000005337
174,ENSDART00000005431
175,ENSDART00000005436
176,ENSDART00000005449
177,ENSDART00000005453
178,ENSDART00000005464
179,ENSDART00000005479
180,ENSDART00000005518
181,ENSDART00000005562
182,ENSDART00000005568
183,ENSDART00000005573
184,ENSDART00000005593
185,ENSDART00000005609
186,ENSDART00000005625
187,ENSDART00000005643
188,ENSDART00000005667
189,ENSDART00000005801
190,ENSDART00000005829
191,ENSDART00000005845
192,ENSDART00000005853
193,ENSDART00000005893
194,ENSDART00000005906
195,ENSDART00000005913
196,ENSDART00000005989
197,ENSDART00000005999
198,ENSDART00000006038
199,ENSDART00000006061
200,ENSDART00000006091
201,ENSDART00000006109
202,ENSDART00000006180
203,ENSDART00000006215
204,ENSDART00000006216
205,ENSDART00000006221
206,ENSDART00000006288
207,ENSDART00000006290
208,ENSDART00000006357
209,ENSDART00000006381
210,ENSDART00000006386
211,ENSDART00000006412
212,ENSDART00000006417
213,ENSDART00000006419
214,ENSDART00000006455
215,ENSDART00000006463
216,ENSDART00000006482
217,ENSDART00000006602
218,ENSDART00000006604
219,ENSDART00000006615
