Transcript stable ID	Protein stable ID
ENSDART00000098476	ENSDARP00000089247
ENSDART00000098504	ENSDARP00000089275
ENSDART00000098525	ENSDARP00000089296
ENSDART00000098571	ENSDARP00000089342
ENSDART00000098578	ENSDARP00000089349
ENSDART00000098590	ENSDARP00000089361
ENSDART00000098593	
ENSDART00000098600	ENSDARP00000089371
ENSDART00000098604	ENSDARP00000089375
ENSDART00000098632	ENSDARP00000089403
ENSDART00000098636	ENSDARP00000089407
ENSDART00000098659	ENSDARP00000089430
ENSDART00000098667	ENSDARP00000089438
ENSDART00000098691	ENSDARP00000089462
ENSDART00000098750	ENSDARP00000089520
ENSDART00000098784	
ENSDART00000098806	ENSDARP00000089576
ENSDART00000098831	ENSDARP00000089601
ENSDART00000098842	ENSDARP00000089612
ENSDART00000098850	ENSDARP00000089620
ENSDART00000098859	ENSDARP00000089629
ENSDART00000098865	ENSDARP00000089635
ENSDART00000098889	ENSDARP00000089659
ENSDART00000098914	ENSDARP00000089684
ENSDART00000098952	ENSDARP00000089722
ENSDART00000098970	ENSDARP00000089741
ENSDART00000098976	ENSDARP00000142098
ENSDART00000098980	ENSDARP00000089751
ENSDART00000099016	ENSDARP00000089788
ENSDART00000099021	ENSDARP00000089794
ENSDART00000099031	ENSDARP00000089804
ENSDART00000099040	ENSDARP00000089813
ENSDART00000099046	ENSDARP00000089819
ENSDART00000099084	ENSDARP00000089858
ENSDART00000099202	ENSDARP00000089974
ENSDART00000099224	ENSDARP00000089996
ENSDART00000099235	ENSDARP00000090007
ENSDART00000099259	ENSDARP00000090031
ENSDART00000099262	ENSDARP00000090035
ENSDART00000099290	ENSDARP00000090064
ENSDART00000099295	ENSDARP00000090068
ENSDART00000099315	ENSDARP00000090088
ENSDART00000099320	ENSDARP00000090093
ENSDART00000099327	ENSDARP00000090100
ENSDART00000099333	ENSDARP00000090106
ENSDART00000099378	ENSDARP00000090151
ENSDART00000099396	ENSDARP00000090169
ENSDART00000099420	ENSDARP00000090193
ENSDART00000099440	ENSDARP00000090213
ENSDART00000099462	ENSDARP00000090236
ENSDART00000099463	ENSDARP00000090237
ENSDART00000099467	ENSDARP00000090241
ENSDART00000099517	ENSDARP00000090291
ENSDART00000099535	ENSDARP00000090309
ENSDART00000099552	ENSDARP00000090326
ENSDART00000099555	ENSDARP00000090329
ENSDART00000099600	ENSDARP00000090374
ENSDART00000099601	ENSDARP00000090375
ENSDART00000099602	ENSDARP00000090376
ENSDART00000099607	ENSDARP00000090381
ENSDART00000099626	
ENSDART00000099677	ENSDARP00000090450
ENSDART00000099692	ENSDARP00000090466
ENSDART00000099723	ENSDARP00000090496
ENSDART00000099727	ENSDARP00000090500
ENSDART00000099732	ENSDARP00000090505
ENSDART00000099748	ENSDARP00000090521
ENSDART00000099761	ENSDARP00000090534
ENSDART00000099777	ENSDARP00000090550
ENSDART00000099782	ENSDARP00000090555
ENSDART00000099787	ENSDARP00000090560
ENSDART00000099810	ENSDARP00000090583
ENSDART00000099832	ENSDARP00000090605
ENSDART00000099835	ENSDARP00000090608
ENSDART00000099841	ENSDARP00000090614
ENSDART00000099849	ENSDARP00000134619
ENSDART00000099856	ENSDARP00000090629
ENSDART00000099863	ENSDARP00000090636
ENSDART00000099871	ENSDARP00000090644
ENSDART00000099872	ENSDARP00000090645
ENSDART00000099880	ENSDARP00000090653
ENSDART00000099895	ENSDARP00000090668
ENSDART00000099913	ENSDARP00000090686
ENSDART00000099944	ENSDARP00000090717
ENSDART00000099956	ENSDARP00000099382
ENSDART00000099964	ENSDARP00000090736
ENSDART00000099977	ENSDARP00000090749
ENSDART00000099978	ENSDARP00000090750
ENSDART00000099988	ENSDARP00000090760
ENSDART00000099993	ENSDARP00000090765
ENSDART00000100032	ENSDARP00000090804
ENSDART00000100042	ENSDARP00000090814
ENSDART00000100046	ENSDARP00000090818
ENSDART00000100061	ENSDARP00000090833
ENSDART00000100063	ENSDARP00000090835
ENSDART00000100093	ENSDARP00000090865
ENSDART00000100160	ENSDARP00000090933
ENSDART00000100173	ENSDARP00000090946
ENSDART00000100194	ENSDARP00000090967
ENSDART00000100207	ENSDARP00000090980
ENSDART00000100214	ENSDARP00000090987
ENSDART00000100222	ENSDARP00000090995
