[132, ':DM_hits Gene/Pro: ENSDARG00000a69463_48 Length:703 ---#hits =134 R: 3 NR: 12 ENSDARP00000091900']
[124, ':DM_hits Gene/Pro: ENSDARG00000a69463_50 Length:705 ---#hits =126 R: 3 NR: 12 ENSDARP00000091900']
[122, ':DM_hits Gene/Pro: ENSDARG00000a69463_54 Length:703 ---#hits =124 R: 3 NR: 12 ENSDARP00000091900']
[122, ':DM_hits Gene/Pro: ENSDARG00000a69463_52 Length:701 ---#hits =124 R: 3 NR: 12 ENSDARP00000091900']
[122, ':DM_hits Gene/Pro: ENSDARG00000a69463_22 Length:703 ---#hits =124 R: 3 NR: 12 ENSDARP00000091900']
[122, ':DM_hits Gene/Pro: ENSDARG00000a69463_18 Length:705 ---#hits =124 R: 3 NR: 12 ENSDARP00000091900']
[122, ':DM_hits Gene/Pro: ENSDARG00000a69463_16 Length:703 ---#hits =124 R: 3 NR: 12 ENSDARP00000091900']
[122, ':DM_hits Gene/Pro: ENSDARG00000a69463_0 Length:703 ---#hits =124 R: 3 NR: 12 ENSDARP00000091900']
[121, ':DM_hits Gene/Pro: ENSDARG00000a69463_6 Length:703 ---#hits =123 R: 3 NR: 12 ENSDARP00000091900']
[121, ':DM_hits Gene/Pro: ENSDARG00000a69463_32 Length:703 ---#hits =123 R: 3 NR: 12 ENSDARP00000091900']
[121, ':DM_hits Gene/Pro: ENSDARG00000a69463_2 Length:705 ---#hits =123 R: 3 NR: 12 ENSDARP00000091900']
[120, ':DM_hits Gene/Pro: ENSDARG00000a69463_56 Length:703 ---#hits =122 R: 3 NR: 12 ENSDARP00000091900']
[120, ':DM_hits Gene/Pro: ENSDARG00000a69463_4 Length:701 ---#hits =122 R: 3 NR: 12 ENSDARP00000091900']
[120, ':DM_hits Gene/Pro: ENSDARG00000a69463_38 Length:703 ---#hits =122 R: 3 NR: 12 ENSDARP00000091900']
[120, ':DM_hits Gene/Pro: ENSDARG00000a69463_34 Length:705 ---#hits =122 R: 3 NR: 12 ENSDARP00000091900']
[120, ':DM_hits Gene/Pro: ENSDARG00000a69463_20 Length:701 ---#hits =122 R: 3 NR: 12 ENSDARP00000091900']
[119, ':DM_hits Gene/Pro: ENSDARG00000a69463_62 Length:703 ---#hits =121 R: 3 NR: 12 ENSDARP00000091900']
[119, ':DM_hits Gene/Pro: ENSDARG00000a69463_60 Length:701 ---#hits =121 R: 3 NR: 12 ENSDARP00000091900']
[119, ':DM_hits Gene/Pro: ENSDARG00000a69463_58 Length:705 ---#hits =121 R: 3 NR: 12 ENSDARP00000091900']
[119, ':DM_hits Gene/Pro: ENSDARG00000a69463_51 Length:705 ---#hits =120 R: 3 NR: 12 ENSDARP00000091900']
[119, ':DM_hits Gene/Pro: ENSDARG00000a69463_36 Length:701 ---#hits =121 R: 3 NR: 12 ENSDARP00000091900']
[119, ':DM_hits Gene/Pro: ENSDARG00000a69463_30 Length:703 ---#hits =121 R: 3 NR: 12 ENSDARP00000091900']
[119, ':DM_hits Gene/Pro: ENSDARG00000a69463_26 Length:705 ---#hits =121 R: 3 NR: 12 ENSDARP00000091900']
[119, ':DM_hits Gene/Pro: ENSDARG00000a69463_24 Length:703 ---#hits =121 R: 3 NR: 12 ENSDARP00000091900']
[118, ':DM_hits Gene/Pro: ENSDARG00000a69463_8 Length:703 ---#hits =120 R: 3 NR: 12 ENSDARP00000091900']
[118, ':DM_hits Gene/Pro: ENSDARG00000a69463_7 Length:703 ---#hits =119 R: 3 NR: 12 ENSDARP00000091900']
[118, ':DM_hits Gene/Pro: ENSDARG00000a69463_55 Length:703 ---#hits =119 R: 3 NR: 12 ENSDARP00000091900']
[118, ':DM_hits Gene/Pro: ENSDARG00000a69463_49 Length:703 ---#hits =119 R: 3 NR: 12 ENSDARP00000091900']
[118, ':DM_hits Gene/Pro: ENSDARG00000a69463_40 Length:703 ---#hits =120 R: 3 NR: 12 ENSDARP00000091900']
[118, ':DM_hits Gene/Pro: ENSDARG00000a69463_3 Length:705 ---#hits =119 R: 3 NR: 12 ENSDARP00000091900']
[118, ':DM_hits Gene/Pro: ENSDARG00000a69463_28 Length:701 ---#hits =120 R: 3 NR: 12 ENSDARP00000091900']
[118, ':DM_hits Gene/Pro: ENSDARG00000a69463_23 Length:703 ---#hits =119 R: 3 NR: 12 ENSDARP00000091900']
[118, ':DM_hits Gene/Pro: ENSDARG00000a69463_19 Length:705 ---#hits =119 R: 3 NR: 12 ENSDARP00000091900']
[118, ':DM_hits Gene/Pro: ENSDARG00000a69463_14 Length:703 ---#hits =120 R: 3 NR: 12 ENSDARP00000091900']
[118, ':DM_hits Gene/Pro: ENSDARG00000a69463_10 Length:705 ---#hits =120 R: 3 NR: 12 ENSDARP00000091900']
[118, ':DM_hits Gene/Pro: ENSDARG00000a69463_1 Length:703 ---#hits =119 R: 3 NR: 12 ENSDARP00000091900']
[117, ':DM_hits Gene/Pro: ENSDARG00000a69463_5 Length:701 ---#hits =118 R: 3 NR: 12 ENSDARP00000091900']
[117, ':DM_hits Gene/Pro: ENSDARG00000a69463_46 Length:703 ---#hits =119 R: 3 NR: 12 ENSDARP00000091900']
[117, ':DM_hits Gene/Pro: ENSDARG00000a69463_44 Length:701 ---#hits =119 R: 3 NR: 12 ENSDARP00000091900']
[117, ':DM_hits Gene/Pro: ENSDARG00000a69463_42 Length:705 ---#hits =119 R: 3 NR: 12 ENSDARP00000091900']
[117, ':DM_hits Gene/Pro: ENSDARG00000a69463_39 Length:703 ---#hits =118 R: 3 NR: 12 ENSDARP00000091900']
[117, ':DM_hits Gene/Pro: ENSDARG00000a69463_35 Length:705 ---#hits =118 R: 3 NR: 12 ENSDARP00000091900']
[117, ':DM_hits Gene/Pro: ENSDARG00000a69463_33 Length:703 ---#hits =118 R: 3 NR: 12 ENSDARP00000091900']
[117, ':DM_hits Gene/Pro: ENSDARG00000a69463_17 Length:703 ---#hits =118 R: 3 NR: 12 ENSDARP00000091900']
[117, ':DM_hits Gene/Pro: ENSDARG00000a69463_12 Length:701 ---#hits =119 R: 3 NR: 12 ENSDARP00000091900']
[116, ':DM_hits Gene/Pro: ENSDARG00000a69463_53 Length:701 ---#hits =117 R: 3 NR: 12 ENSDARP00000091900']
[116, ':DM_hits Gene/Pro: ENSDARG00000a69463_37 Length:701 ---#hits =117 R: 3 NR: 12 ENSDARP00000091900']
[116, ':DM_hits Gene/Pro: ENSDARG00000a69463_21 Length:701 ---#hits =117 R: 3 NR: 12 ENSDARP00000091900']
[115, ':DM_hits Gene/Pro: ENSDARG00000a69463_63 Length:703 ---#hits =116 R: 3 NR: 12 ENSDARP00000091900']
[115, ':DM_hits Gene/Pro: ENSDARG00000a69463_59 Length:705 ---#hits =116 R: 3 NR: 12 ENSDARP00000091900']
[115, ':DM_hits Gene/Pro: ENSDARG00000a69463_31 Length:703 ---#hits =116 R: 3 NR: 12 ENSDARP00000091900']
[115, ':DM_hits Gene/Pro: ENSDARG00000a69463_27 Length:705 ---#hits =116 R: 3 NR: 12 ENSDARP00000091900']
[115, ':DM_hits Gene/Pro: ENSDARG00000a69463_15 Length:703 ---#hits =116 R: 3 NR: 12 ENSDARP00000091900']
[115, ':DM_hits Gene/Pro: ENSDARG00000a69463_11 Length:705 ---#hits =116 R: 3 NR: 12 ENSDARP00000091900']
[114, ':DM_hits Gene/Pro: ENSDARG00000a69463_9 Length:703 ---#hits =115 R: 3 NR: 12 ENSDARP00000091900']
[114, ':DM_hits Gene/Pro: ENSDARG00000a69463_47 Length:703 ---#hits =115 R: 3 NR: 12 ENSDARP00000091900']
[114, ':DM_hits Gene/Pro: ENSDARG00000a69463_43 Length:705 ---#hits =115 R: 3 NR: 12 ENSDARP00000091900']
[114, ':DM_hits Gene/Pro: ENSDARG00000a69463_13 Length:701 ---#hits =115 R: 3 NR: 12 ENSDARP00000091900']
[113, ':DM_hits Gene/Pro: ENSDARG00000a69463_61 Length:701 ---#hits =114 R: 3 NR: 12 ENSDARP00000091900']
[113, ':DM_hits Gene/Pro: ENSDARG00000a69463_57 Length:703 ---#hits =114 R: 3 NR: 12 ENSDARP00000091900']
[113, ':DM_hits Gene/Pro: ENSDARG00000a69463_45 Length:701 ---#hits =114 R: 3 NR: 12 ENSDARP00000091900']
[113, ':DM_hits Gene/Pro: ENSDARG00000a69463_41 Length:703 ---#hits =114 R: 3 NR: 12 ENSDARP00000091900']
[113, ':DM_hits Gene/Pro: ENSDARG00000a69463_29 Length:701 ---#hits =114 R: 3 NR: 12 ENSDARP00000091900']
[113, ':DM_hits Gene/Pro: ENSDARG00000a69463_25 Length:703 ---#hits =114 R: 3 NR: 12 ENSDARP00000091900']
[78, ':DM_hits Gene/Pro: ENSDARG00000053569_0 Length:456 ---#hits =86 R: 8 NR: 7 ENSDARP00000070099']
[77, ':DM_hits Gene/Pro: ENSDARG00000005645_60 Length:1536 ---#hits =95 R: 10 NR: 11 ENSDARP00000003540']
[77, ':DM_hits Gene/Pro: ENSDARG00000005645_56 Length:1533 ---#hits =95 R: 10 NR: 11 ENSDARP00000003540']
[74, ':DM_hits Gene/Pro: ENSDARG00000005645_44 Length:1535 ---#hits =93 R: 10 NR: 11 ENSDARP00000003540']
[74, ':DM_hits Gene/Pro: ENSDARG00000005645_40 Length:1534 ---#hits =93 R: 10 NR: 11 ENSDARP00000003540']
[69, ':DM_hits Gene/Pro: ENSDARG00000053131_0 Length:680 ---#hits =117 R: 2 NR: 11 ENSDARP00000067130']
[69, ':DM_hits Gene/Pro: ENSDARG00000052139_0 Length:2745 ---#hits =69 R: 6 NR: 12 ENSDARP00000068420']
[63, ':DM_hits Gene/Pro: ENSDARG00000005645_57 Length:1526 ---#hits =83 R: 10 NR: 11 ENSDARP00000003540']
[62, ':DM_hits Gene/Pro: ENSDARG00000005645_61 Length:1527 ---#hits =82 R: 10 NR: 11 ENSDARP00000003540']
[61, ':DM_hits Gene/Pro: ENSDARG00000018923_3 Length:4520 ---#hits =61 R: 11 NR: 12 ENSDARP00000014029']
[61, ':DM_hits Gene/Pro: ENSDARG00000005645_45 Length:1530 ---#hits =82 R: 10 NR: 11 ENSDARP00000003540']
[61, ':DM_hits Gene/Pro: ENSDARG00000005645_41 Length:1526 ---#hits =82 R: 10 NR: 11 ENSDARP00000003540']
[55, ':DM_hits Gene/Pro: ENSDARG00000018923_2 Length:4527 ---#hits =55 R: 11 NR: 12 ENSDARP00000014029']
[52, ':DM_hits Gene/Pro: ENSDARG00000101949_0 Length:791 ---#hits =52 R: 5 NR: 12 ENSDARP00000130879']
[50, ':DM_hits Gene/Pro: ENSDARG00000055395_1 Length:476 ---#hits =62 R: 4 NR: 4 ENSDARP00000113053']
[50, ':DM_hits Gene/Pro: ENSDARG00000055395_0 Length:476 ---#hits =62 R: 4 NR: 4 ENSDARP00000113053']
[45, ':DM_hits Gene/Pro: ENSDARG00000017591_4 Length:4800 ---#hits =51 R: 12 NR: 12 ENSDARP00000112805']
[45, ':DM_hits Gene/Pro: ENSDARG00000017591_3 Length:4797 ---#hits =51 R: 12 NR: 12 ENSDARP00000112805']
[45, ':DM_hits Gene/Pro: ENSDARG00000017591_2 Length:4797 ---#hits =51 R: 12 NR: 12 ENSDARP00000112805']
[45, ':DM_hits Gene/Pro: ENSDARG00000017591_1 Length:4797 ---#hits =51 R: 12 NR: 12 ENSDARP00000112805']
[45, ':DM_hits Gene/Pro: ENSDARG00000017591_0 Length:4797 ---#hits =51 R: 12 NR: 12 ENSDARP00000112805']
[36, ':DM_hits Gene/Pro: ENSDARG00000075083_2 Length:4672 ---#hits =42 R: 12 NR: 12 ENSDARP00000051678']
[34, ':DM_hits Gene/Pro: ENSDARG00000056483_3 Length:412 ---#hits =34 R: 5 NR: 11 ENSDARP00000120091']
[34, ':DM_hits Gene/Pro: ENSDARG00000056483_2 Length:412 ---#hits =34 R: 5 NR: 11 ENSDARP00000120091']
[34, ':DM_hits Gene/Pro: ENSDARG00000056483_1 Length:412 ---#hits =34 R: 5 NR: 11 ENSDARP00000120091']
[34, ':DM_hits Gene/Pro: ENSDARG00000056483_0 Length:412 ---#hits =34 R: 5 NR: 11 ENSDARP00000120091']
[32, ':DM_hits Gene/Pro: ENSDARG00000041895_3 Length:2479 ---#hits =33 R: 11 NR: 12 ENSDARP00000127377']
[31, ':DM_hits Gene/Pro: ENSDARG00000056525_0 Length:1198 ---#hits =32 R: 9 NR: 12 ENSDARP00000106517']
[30, ':DM_hits Gene/Pro: ENSDARG00000075083_0 Length:4746 ---#hits =38 R: 12 NR: 12 ENSDARP00000051678']
[30, ':DM_hits Gene/Pro: ENSDARG00000041895_1 Length:2495 ---#hits =31 R: 11 NR: 12 ENSDARP00000127377']
[29, ':DM_hits Gene/Pro: ENSDARG00000055294_0 Length:387 ---#hits =33 R: 6 NR: 9 ENSDARP00000105581']
[28, ':DM_hits Gene/Pro: ENSDARG00000b39665_672 Length:1574 ---#hits =34 R: 10 NR: 12 ENSDARP00000057980']
[28, ':DM_hits Gene/Pro: ENSDARG00000019063_3 Length:4751 ---#hits =41 R: 10 NR: 12 ENSDARP00000142312']
[28, ':DM_hits Gene/Pro: ENSDARG00000019063_2 Length:4750 ---#hits =46 R: 10 NR: 12 ENSDARP00000142312']
[28, ':DM_hits Gene/Pro: ENSDARG00000019063_1 Length:4751 ---#hits =41 R: 10 NR: 12 ENSDARP00000142312']
[27, ':DM_hits Gene/Pro: ENSDARG00000041895_4 Length:2494 ---#hits =28 R: 11 NR: 12 ENSDARP00000127377']
[27, ':DM_hits Gene/Pro: ENSDARG00000041895_2 Length:2495 ---#hits =28 R: 11 NR: 12 ENSDARP00000127377']
[27, ':DM_hits Gene/Pro: ENSDARG00000035326_0 Length:347 ---#hits =27 R: 6 NR: 11 ENSDARP00000051185']
[27, ':DM_hits Gene/Pro: ENSDARG00000019063_0 Length:4749 ---#hits =40 R: 10 NR: 12 ENSDARP00000142312']
[26, ':DM_hits Gene/Pro: ENSDARG00000b39665_688 Length:1549 ---#hits =41 R: 10 NR: 12 ENSDARP00000057980']
[26, ':DM_hits Gene/Pro: ENSDARG00000074118_3 Length:679 ---#hits =37 R: 7 NR: 11 ENSDARP00000061169']
[26, ':DM_hits Gene/Pro: ENSDARG00000041895_0 Length:2502 ---#hits =27 R: 11 NR: 12 ENSDARP00000127377']
[26, ':DM_hits Gene/Pro: ENSDARG00000037517_9 Length:2313 ---#hits =26 R: 11 NR: 10 ENSDARP00000113029']
[26, ':DM_hits Gene/Pro: ENSDARG00000037517_8 Length:2313 ---#hits =26 R: 11 NR: 10 ENSDARP00000113029']
[26, ':DM_hits Gene/Pro: ENSDARG00000037517_5 Length:2321 ---#hits =26 R: 11 NR: 10 ENSDARP00000113029']
[26, ':DM_hits Gene/Pro: ENSDARG00000037517_4 Length:2346 ---#hits =26 R: 11 NR: 10 ENSDARP00000113029']
[26, ':DM_hits Gene/Pro: ENSDARG00000037517_3 Length:2346 ---#hits =26 R: 11 NR: 10 ENSDARP00000113029']
[26, ':DM_hits Gene/Pro: ENSDARG00000037517_0 Length:2356 ---#hits =27 R: 11 NR: 10 ENSDARP00000113029']
[26, ':DM_hits Gene/Pro: ENSDARG00000018923_0 Length:4535 ---#hits =26 R: 11 NR: 12 ENSDARP00000014029']
[23, ':DM_hits Gene/Pro: ENSDARG00000015829_1 Length:1149 ---#hits =29 R: 11 NR: 11 ENSDARP00000064825']
[22, ':DM_hits Gene/Pro: ENSDARG00000094300_1 Length:103 ---#hits =40 R: 2 NR: 9 ENSDARP00000130897']
[22, ':DM_hits Gene/Pro: ENSDARG00000094300_0 Length:103 ---#hits =40 R: 2 NR: 9 ENSDARP00000130897']
[21, ':DM_hits Gene/Pro: ENSDARG00000b39665_304 Length:1572 ---#hits =42 R: 10 NR: 12 ENSDARP00000057980']
[21, ':DM_hits Gene/Pro: ENSDARG00000099871_3 Length:2335 ---#hits =25 R: 12 NR: 12 ENSDARP00000134410']
[21, ':DM_hits Gene/Pro: ENSDARG00000099871_2 Length:2331 ---#hits =25 R: 12 NR: 12 ENSDARP00000134410']
[21, ':DM_hits Gene/Pro: ENSDARG00000099871_1 Length:2334 ---#hits =25 R: 12 NR: 12 ENSDARP00000134410']
[21, ':DM_hits Gene/Pro: ENSDARG00000099871_0 Length:2330 ---#hits =25 R: 12 NR: 12 ENSDARP00000134410']
[21, ':DM_hits Gene/Pro: ENSDARG00000018923_1 Length:4518 ---#hits =21 R: 11 NR: 12 ENSDARP00000014029']
[21, ':DM_hits Gene/Pro: ENSDARG00000010878_0 Length:393 ---#hits =27 R: 4 NR: 7 ENSDARP00000009882']
[20, ':DM_hits Gene/Pro: ENSDARG00000b39665_288 Length:1563 ---#hits =27 R: 10 NR: 12 ENSDARP00000057980']
[20, ':DM_hits Gene/Pro: ENSDARG00000037517_2 Length:2003 ---#hits =22 R: 11 NR: 10 ENSDARP00000113029']
[20, ':DM_hits Gene/Pro: ENSDARG00000015829_0 Length:1150 ---#hits =32 R: 11 NR: 11 ENSDARP00000064825']
[20, ':DM_hits Gene/Pro: ENSDARG00000005612_1 Length:278 ---#hits =20 R: 4 NR: 12 ENSDARP00000011743']
[19, ':DM_hits Gene/Pro: ENSDARG00000037517_7 Length:1997 ---#hits =21 R: 11 NR: 10 ENSDARP00000113029']
[19, ':DM_hits Gene/Pro: ENSDARG00000005612_0 Length:278 ---#hits =19 R: 4 NR: 12 ENSDARP00000011743']
[18, ':DM_hits Gene/Pro: ENSDARG00000037517_6 Length:2003 ---#hits =20 R: 11 NR: 10 ENSDARP00000113029']
[18, ':DM_hits Gene/Pro: ENSDARG00000037517_1 Length:2010 ---#hits =22 R: 11 NR: 10 ENSDARP00000113029']
[17, ':DM_hits Gene/Pro: ENSDARG00000b39665_704 Length:1552 ---#hits =21 R: 10 NR: 12 ENSDARP00000057980']
[17, ':DM_hits Gene/Pro: ENSDARG00000061124_0 Length:676 ---#hits =17 R: 12 NR: 12 ENSDARP00000081257']
[16, ':DM_hits Gene/Pro: ENSDARG00000b39665_112 Length:1548 ---#hits =27 R: 10 NR: 12 ENSDARP00000057980']
[16, ':DM_hits Gene/Pro: ENSDARG00000a62831_0 Length:593 ---#hits =16 R: 5 NR: 12 ENSDARP00000085674']
[16, ':DM_hits Gene/Pro: ENSDARG00000052094_0 Length:2635 ---#hits =17 R: 11 NR: 10 ENSDARP00000105460']
[16, ':DM_hits Gene/Pro: ENSDARG00000014673_0 Length:604 ---#hits =17 R: 10 NR: 10 ENSDARP00000006458']
[15, ':DM_hits Gene/Pro: ENSDARG00000069748_0 Length:802 ---#hits =21 R: 11 NR: 11 ENSDARP00000092508']
[15, ':DM_hits Gene/Pro: ENSDARG00000061124_1 Length:676 ---#hits =15 R: 12 NR: 12 ENSDARP00000081257']
[15, ':DM_hits Gene/Pro: ENSDARG00000052094_1 Length:2634 ---#hits =16 R: 11 NR: 10 ENSDARP00000105460']
[15, ':DM_hits Gene/Pro: ENSDARG00000008592_1 Length:792 ---#hits =15 R: 10 NR: 8 ENSDARP00000007263']
[15, ':DM_hits Gene/Pro: ENSDARG00000008592_0 Length:848 ---#hits =15 R: 10 NR: 8 ENSDARP00000007263']
[14, ':DM_hits Gene/Pro: ENSDARG00000b39665_500 Length:1506 ---#hits =18 R: 10 NR: 12 ENSDARP00000057980']
[14, ':DM_hits Gene/Pro: ENSDARG00000b39665_480 Length:1553 ---#hits =19 R: 10 NR: 12 ENSDARP00000057980']
[14, ':DM_hits Gene/Pro: ENSDARG00000061124_2 Length:680 ---#hits =14 R: 12 NR: 12 ENSDARP00000081257']
[14, ':DM_hits Gene/Pro: ENSDARG00000052094_2 Length:2657 ---#hits =15 R: 11 NR: 10 ENSDARP00000105460']
[14, ':DM_hits Gene/Pro: ENSDARG00000042561_0 Length:402 ---#hits =14 R: 10 NR: 12 ENSDARP00000062425']
[14, ':DM_hits Gene/Pro: ENSDARG00000013168_0 Length:1256 ---#hits =17 R: 12 NR: 12 ENSDARP00000008197']
[13, ':DM_hits Gene/Pro: ENSDARG00000b39665_128 Length:1559 ---#hits =18 R: 10 NR: 12 ENSDARP00000057980']
[13, ':DM_hits Gene/Pro: ENSDARG00000a62831_1 Length:598 ---#hits =13 R: 5 NR: 12 ENSDARP00000085674']
[13, ':DM_hits Gene/Pro: ENSDARG00000086980_3 Length:1778 ---#hits =19 R: 5 NR: 12 ENSDARP00000129030']
[13, ':DM_hits Gene/Pro: ENSDARG00000086980_2 Length:1778 ---#hits =19 R: 5 NR: 12 ENSDARP00000129030']
[13, ':DM_hits Gene/Pro: ENSDARG00000074118_75 Length:760 ---#hits =14 R: 7 NR: 11 ENSDARP00000061169']
[13, ':DM_hits Gene/Pro: ENSDARG00000059773_1 Length:1795 ---#hits =21 R: 11 NR: 12 ENSDARP00000118257']
[13, ':DM_hits Gene/Pro: ENSDARG00000059701_0 Length:1306 ---#hits =13 R: 10 NR: 11 ENSDARP00000128537']
[13, ':DM_hits Gene/Pro: ENSDARG00000030289_1 Length:1287 ---#hits =13 R: 11 NR: 12 ENSDARP00000121170']
[13, ':DM_hits Gene/Pro: ENSDARG00000030289_0 Length:1296 ---#hits =13 R: 11 NR: 12 ENSDARP00000121170']
[13, ':DM_hits Gene/Pro: ENSDARG00000014673_1 Length:602 ---#hits =14 R: 10 NR: 10 ENSDARP00000006458']
[12, ':DM_hits Gene/Pro: ENSDARG00000b39665_96 Length:1566 ---#hits =18 R: 10 NR: 12 ENSDARP00000057980']
[12, ':DM_hits Gene/Pro: ENSDARG00000b39665_576 Length:1591 ---#hits =12 R: 10 NR: 12 ENSDARP00000057980']
[12, ':DM_hits Gene/Pro: ENSDARG00000b39665_352 Length:1560 ---#hits =16 R: 10 NR: 12 ENSDARP00000057980']
[12, ':DM_hits Gene/Pro: ENSDARG00000b39665_336 Length:1571 ---#hits =14 R: 10 NR: 12 ENSDARP00000057980']
[12, ':DM_hits Gene/Pro: ENSDARG00000b39665_296 Length:1588 ---#hits =13 R: 10 NR: 12 ENSDARP00000057980']
[12, ':DM_hits Gene/Pro: ENSDARG00000074118_65 Length:760 ---#hits =12 R: 7 NR: 11 ENSDARP00000061169']
[12, ':DM_hits Gene/Pro: ENSDARG00000074118_35 Length:681 ---#hits =24 R: 7 NR: 11 ENSDARP00000061169']
[12, ':DM_hits Gene/Pro: ENSDARG00000074118_12 Length:743 ---#hits =12 R: 7 NR: 11 ENSDARP00000061169']
[12, ':DM_hits Gene/Pro: ENSDARG00000017741_222 Length:539 ---#hits =13 R: 12 NR: 12 ENSDARP00000121211']
[12, ':DM_hits Gene/Pro: ENSDARG00000017741_192 Length:545 ---#hits =13 R: 12 NR: 12 ENSDARP00000121211']
[11, ':DM_hits Gene/Pro: ENSDARG00000b39665_689 Length:1553 ---#hits =17 R: 10 NR: 12 ENSDARP00000057980']
[11, ':DM_hits Gene/Pro: ENSDARG00000b39665_320 Length:1588 ---#hits =26 R: 10 NR: 12 ENSDARP00000057980']
[11, ':DM_hits Gene/Pro: ENSDARG00000b39665_176 Length:1555 ---#hits =13 R: 10 NR: 12 ENSDARP00000057980']
[11, ':DM_hits Gene/Pro: ENSDARG00000b39665_168 Length:1558 ---#hits =12 R: 10 NR: 12 ENSDARP00000057980']
[11, ':DM_hits Gene/Pro: ENSDARG00000b39665_152 Length:1570 ---#hits =11 R: 10 NR: 12 ENSDARP00000057980']
[11, ':DM_hits Gene/Pro: ENSDARG00000b39665_120 Length:1557 ---#hits =17 R: 10 NR: 12 ENSDARP00000057980']
[11, ':DM_hits Gene/Pro: ENSDARG00000087863_0 Length:844 ---#hits =16 R: 10 NR: 12 ENSDARP00000110970']
[11, ':DM_hits Gene/Pro: ENSDARG00000074118_1 Length:736 ---#hits =11 R: 7 NR: 11 ENSDARP00000061169']
[11, ':DM_hits Gene/Pro: ENSDARG00000061124_3 Length:685 ---#hits =11 R: 12 NR: 12 ENSDARP00000081257']
[11, ':DM_hits Gene/Pro: ENSDARG00000059773_0 Length:1601 ---#hits =18 R: 11 NR: 12 ENSDARP00000118257']
[11, ':DM_hits Gene/Pro: ENSDARG00000017741_72 Length:538 ---#hits =12 R: 12 NR: 12 ENSDARP00000121211']
[11, ':DM_hits Gene/Pro: ENSDARG00000017741_60 Length:541 ---#hits =12 R: 12 NR: 12 ENSDARP00000121211']
[11, ':DM_hits Gene/Pro: ENSDARG00000017741_213 Length:537 ---#hits =12 R: 12 NR: 12 ENSDARP00000121211']
[11, ':DM_hits Gene/Pro: ENSDARG00000017741_195 Length:541 ---#hits =11 R: 12 NR: 12 ENSDARP00000121211']
[11, ':DM_hits Gene/Pro: ENSDARG00000017741_183 Length:543 ---#hits =12 R: 12 NR: 12 ENSDARP00000121211']
[11, ':DM_hits Gene/Pro: ENSDARG00000017741_180 Length:540 ---#hits =12 R: 12 NR: 12 ENSDARP00000121211']
