Transcript stable ID	Protein stable ID
ENSDART00000126105	
ENSDART00000126136	ENSDARP00000109148
ENSDART00000126154	ENSDARP00000107223
ENSDART00000126186	ENSDARP00000106592
ENSDART00000126190	ENSDARP00000105779
ENSDART00000126205	ENSDARP00000106374
ENSDART00000126215	ENSDARP00000109203
ENSDART00000126219	ENSDARP00000107622
ENSDART00000126230	ENSDARP00000110770
ENSDART00000126240	ENSDARP00000110970
ENSDART00000126270	ENSDARP00000109982
ENSDART00000126273	ENSDARP00000111637
ENSDART00000126274	ENSDARP00000109267
ENSDART00000126299	ENSDARP00000111451
ENSDART00000126311	
ENSDART00000126318	ENSDARP00000110233
ENSDART00000126339	ENSDARP00000110944
ENSDART00000126347	ENSDARP00000108695
ENSDART00000126382	
ENSDART00000126397	ENSDARP00000105918
ENSDART00000126424	ENSDARP00000106543
ENSDART00000126427	ENSDARP00000111776
ENSDART00000126439	ENSDARP00000109071
ENSDART00000126466	ENSDARP00000105119
ENSDART00000126467	ENSDARP00000110133
ENSDART00000126468	ENSDARP00000112412
ENSDART00000126473	ENSDARP00000108982
ENSDART00000126499	ENSDARP00000111141
ENSDART00000126518	ENSDARP00000110295
ENSDART00000126519	ENSDARP00000105651
ENSDART00000126523	ENSDARP00000105938
ENSDART00000126533	ENSDARP00000105498
ENSDART00000126543	ENSDARP00000104972
ENSDART00000126549	ENSDARP00000111250
ENSDART00000126559	ENSDARP00000110618
ENSDART00000126563	ENSDARP00000110530
ENSDART00000126578	ENSDARP00000111084
ENSDART00000126596	ENSDARP00000111483
ENSDART00000126621	ENSDARP00000106280
ENSDART00000126625	ENSDARP00000110558
ENSDART00000126626	ENSDARP00000107356
ENSDART00000126634	ENSDARP00000106009
ENSDART00000126661	ENSDARP00000106826
ENSDART00000126669	ENSDARP00000109699
ENSDART00000126681	ENSDARP00000110177
ENSDART00000126687	ENSDARP00000108576
ENSDART00000126697	ENSDARP00000109659
ENSDART00000126704	ENSDARP00000108035
ENSDART00000126712	ENSDARP00000108416
ENSDART00000126725	ENSDARP00000107741
ENSDART00000126727	ENSDARP00000106121
ENSDART00000126739	ENSDARP00000108910
ENSDART00000126741	ENSDARP00000109735
ENSDART00000126744	ENSDARP00000106379
ENSDART00000126759	ENSDARP00000110623
ENSDART00000126766	ENSDARP00000104743
ENSDART00000126769	ENSDARP00000106127
ENSDART00000126784	ENSDARP00000112064
ENSDART00000126785	ENSDARP00000109877
ENSDART00000126792	ENSDARP00000106570
ENSDART00000126807	ENSDARP00000109254
ENSDART00000126808	ENSDARP00000110531
ENSDART00000126814	ENSDARP00000107758
ENSDART00000126819	
ENSDART00000126835	ENSDARP00000109754
ENSDART00000126841	ENSDARP00000110904
ENSDART00000126866	ENSDARP00000111750
ENSDART00000126892	ENSDARP00000110024
ENSDART00000126897	ENSDARP00000106008
ENSDART00000126908	ENSDARP00000108338
ENSDART00000126978	ENSDARP00000108139
ENSDART00000126979	ENSDARP00000108064
ENSDART00000126982	ENSDARP00000110127
ENSDART00000126991	ENSDARP00000108118
ENSDART00000127037	ENSDARP00000109048
ENSDART00000127043	ENSDARP00000107692
ENSDART00000127044	ENSDARP00000107149
ENSDART00000127046	ENSDARP00000104658
ENSDART00000127065	ENSDARP00000109537
ENSDART00000127119	ENSDARP00000110910
ENSDART00000127123	ENSDARP00000110368
ENSDART00000127135	ENSDARP00000109130
ENSDART00000127151	
ENSDART00000127153	ENSDARP00000109335
ENSDART00000127157	ENSDARP00000106703
ENSDART00000127167	ENSDARP00000109102
ENSDART00000127177	ENSDARP00000105015
ENSDART00000127203	ENSDARP00000105110
ENSDART00000127209	ENSDARP00000104922
ENSDART00000127213	
ENSDART00000127228	ENSDARP00000109432
ENSDART00000127235	ENSDARP00000110791
ENSDART00000127248	ENSDARP00000110840
ENSDART00000127254	ENSDARP00000108860
ENSDART00000127255	ENSDARP00000111414
ENSDART00000127270	
ENSDART00000127277	ENSDARP00000108665
ENSDART00000127297	ENSDARP00000108493
ENSDART00000127302	ENSDARP00000105627
ENSDART00000127303	ENSDARP00000109109
ENSDART00000127309	ENSDARP00000112204
ENSDART00000127318	ENSDARP00000105629
ENSDART00000127329	ENSDARP00000112332
ENSDART00000127358	ENSDARP00000110072
ENSDART00000127365	ENSDARP00000105773
ENSDART00000127370	ENSDARP00000108523
ENSDART00000127383	ENSDARP00000107691
ENSDART00000127396	ENSDARP00000109769
ENSDART00000127397	ENSDARP00000106434
ENSDART00000127398	ENSDARP00000111158
ENSDART00000127401	ENSDARP00000107985
ENSDART00000127420	ENSDARP00000108620
ENSDART00000127427	ENSDARP00000112228
ENSDART00000127435	ENSDARP00000104734
ENSDART00000127443	ENSDARP00000106969
ENSDART00000127454	ENSDARP00000107969
ENSDART00000127455	ENSDARP00000105341
ENSDART00000127465	ENSDARP00000107282
ENSDART00000127473	ENSDARP00000104813
ENSDART00000127487	ENSDARP00000106016
ENSDART00000127502	ENSDARP00000111280
ENSDART00000127506	ENSDARP00000108882
ENSDART00000127578	ENSDARP00000104602
ENSDART00000127581	ENSDARP00000107078
ENSDART00000127583	ENSDARP00000111463
ENSDART00000127604	ENSDARP00000111381
ENSDART00000127614	ENSDARP00000139384
ENSDART00000127617	ENSDARP00000108223
ENSDART00000127618	ENSDARP00000111732
ENSDART00000127623	ENSDARP00000109683
ENSDART00000127628	ENSDARP00000105673
ENSDART00000127640	ENSDARP00000104779
ENSDART00000127662	ENSDARP00000107161
ENSDART00000127677	ENSDARP00000106069
ENSDART00000127693	ENSDARP00000111799
ENSDART00000127719	ENSDARP00000110911
ENSDART00000127725	ENSDARP00000111281
ENSDART00000127729	ENSDARP00000110215
ENSDART00000127734	ENSDARP00000108420
ENSDART00000127740	ENSDARP00000108736
ENSDART00000127741	ENSDARP00000112502
ENSDART00000127759	ENSDARP00000107538
ENSDART00000127766	ENSDARP00000111628
ENSDART00000127805	ENSDARP00000107396
ENSDART00000127810	ENSDARP00000104632
ENSDART00000127829	ENSDARP00000108972
ENSDART00000127832	ENSDARP00000109981
ENSDART00000127834	ENSDARP00000105699
ENSDART00000127838	ENSDARP00000108171
ENSDART00000127845	ENSDARP00000112052
ENSDART00000127894	ENSDARP00000105373
ENSDART00000127916	ENSDARP00000108249
ENSDART00000127932	ENSDARP00000109847
ENSDART00000127936	ENSDARP00000104737
ENSDART00000127938	ENSDARP00000107955
ENSDART00000127945	ENSDARP00000111130
ENSDART00000127953	ENSDARP00000108343
ENSDART00000127956	ENSDARP00000105995
ENSDART00000127958	ENSDARP00000106430
ENSDART00000127962	ENSDARP00000105242
ENSDART00000127985	ENSDARP00000112440
ENSDART00000128011	ENSDARP00000112169
ENSDART00000128014	ENSDARP00000111618
ENSDART00000128034	
ENSDART00000128041	ENSDARP00000108456
ENSDART00000128043	ENSDARP00000104900
ENSDART00000128050	ENSDARP00000105713
ENSDART00000128070	ENSDARP00000106050
ENSDART00000128110	ENSDARP00000106234
ENSDART00000128122	ENSDARP00000112236
ENSDART00000128156	ENSDARP00000111350
ENSDART00000128158	ENSDARP00000109075
ENSDART00000128177	ENSDARP00000134753
ENSDART00000128188	ENSDARP00000106821
ENSDART00000128192	ENSDARP00000107556
ENSDART00000128193	ENSDARP00000106876
ENSDART00000128216	ENSDARP00000112330
ENSDART00000128218	ENSDARP00000105858
ENSDART00000128223	ENSDARP00000111012
ENSDART00000128224	ENSDARP00000110209
ENSDART00000128245	ENSDARP00000111714
ENSDART00000128246	ENSDARP00000112094
ENSDART00000128249	ENSDARP00000110194
ENSDART00000128250	ENSDARP00000106281
ENSDART00000128260	ENSDARP00000109897
ENSDART00000128292	ENSDARP00000106284
ENSDART00000128295	ENSDARP00000111902
ENSDART00000128308	ENSDARP00000105821
ENSDART00000128322	ENSDARP00000106625
ENSDART00000128334	ENSDARP00000111397
ENSDART00000128363	
ENSDART00000128388	ENSDARP00000108155
ENSDART00000128399	ENSDARP00000109865
ENSDART00000128402	ENSDARP00000105481
ENSDART00000128433	ENSDARP00000109113
ENSDART00000128442	ENSDARP00000104953
ENSDART00000128468	ENSDARP00000105523
ENSDART00000128480	ENSDARP00000112121
ENSDART00000128496	
ENSDART00000128504	ENSDARP00000111219
ENSDART00000128508	ENSDARP00000104903
ENSDART00000128510	ENSDARP00000105384
ENSDART00000128530	ENSDARP00000107467
ENSDART00000128533	ENSDARP00000129026
ENSDART00000128549	ENSDARP00000105808
ENSDART00000128550	ENSDARP00000107630
ENSDART00000128560	ENSDARP00000104694
ENSDART00000128574	ENSDARP00000105542
ENSDART00000128602	ENSDARP00000104652
ENSDART00000128639	ENSDARP00000110715
ENSDART00000128653	ENSDARP00000106149
ENSDART00000128666	ENSDARP00000105668
ENSDART00000128700	ENSDARP00000109827
ENSDART00000128703	
ENSDART00000128731	ENSDARP00000111476
ENSDART00000128748	ENSDARP00000109069
ENSDART00000128762	ENSDARP00000105333
ENSDART00000128766	ENSDARP00000107272
ENSDART00000128767	ENSDARP00000107733
ENSDART00000128772	ENSDARP00000112123
ENSDART00000128773	ENSDARP00000111593
ENSDART00000128780	ENSDARP00000110441
ENSDART00000128781	ENSDARP00000106863
ENSDART00000128807	ENSDARP00000107735
ENSDART00000128811	ENSDARP00000110446
ENSDART00000128816	ENSDARP00000106289
ENSDART00000128823	ENSDARP00000107627
ENSDART00000128829	ENSDARP00000108177
ENSDART00000128852	ENSDARP00000106129
ENSDART00000128863	ENSDARP00000107445
ENSDART00000128879	
ENSDART00000128918	ENSDARP00000105647
ENSDART00000128932	ENSDARP00000105186
ENSDART00000128934	ENSDARP00000106888
ENSDART00000128935	ENSDARP00000109882
ENSDART00000128965	ENSDARP00000106517
ENSDART00000128967	ENSDARP00000112388
ENSDART00000128971	ENSDARP00000106218
ENSDART00000128973	
ENSDART00000128975	ENSDARP00000104898
ENSDART00000128978	ENSDARP00000112416
ENSDART00000129016	ENSDARP00000107165
ENSDART00000129023	ENSDARP00000109211
ENSDART00000129028	ENSDARP00000105849
ENSDART00000129044	ENSDARP00000108711
ENSDART00000129052	ENSDARP00000106099
ENSDART00000129058	ENSDARP00000107964
ENSDART00000129091	ENSDARP00000111269
ENSDART00000129095	ENSDARP00000108229
ENSDART00000129100	ENSDARP00000111755
ENSDART00000129125	ENSDARP00000107237
ENSDART00000129134	ENSDARP00000108968
ENSDART00000129155	
ENSDART00000129158	ENSDARP00000105430
ENSDART00000129167	ENSDARP00000111083
ENSDART00000129174	ENSDARP00000109004
ENSDART00000129197	ENSDARP00000107756
ENSDART00000129211	ENSDARP00000111144
ENSDART00000129218	
ENSDART00000129251	ENSDARP00000107830
ENSDART00000129253	ENSDARP00000111520
ENSDART00000129268	ENSDARP00000110187
ENSDART00000129273	ENSDARP00000104901
ENSDART00000129303	ENSDARP00000111850
ENSDART00000129312	ENSDARP00000107180
ENSDART00000129314	ENSDARP00000109545
ENSDART00000129329	ENSDARP00000108894
ENSDART00000129339	ENSDARP00000110322
ENSDART00000129351	ENSDARP00000105556
ENSDART00000129355	ENSDARP00000108955
ENSDART00000129356	ENSDARP00000112225
ENSDART00000129357	ENSDARP00000109282
ENSDART00000129371	ENSDARP00000111132
ENSDART00000129378	ENSDARP00000105078
ENSDART00000129380	ENSDARP00000106662
ENSDART00000129387	ENSDARP00000111285
ENSDART00000129389	ENSDARP00000109856
ENSDART00000129393	ENSDARP00000111075
ENSDART00000129398	ENSDARP00000110718
ENSDART00000129400	ENSDARP00000109779
ENSDART00000129405	ENSDARP00000110321
ENSDART00000129409	ENSDARP00000110763
ENSDART00000129412	ENSDARP00000104987
ENSDART00000129467	ENSDARP00000107280
ENSDART00000129476	ENSDARP00000110949
ENSDART00000129495	ENSDARP00000112326
ENSDART00000129498	ENSDARP00000108658
ENSDART00000129530	ENSDARP00000107110
ENSDART00000129531	
ENSDART00000129540	ENSDARP00000106738
ENSDART00000129542	ENSDARP00000110385
ENSDART00000129594	
ENSDART00000129612	ENSDARP00000108443
