:ENSDARG00000000906_0.txt  ---total Length:383 ---#hits =2 R: 12 NR: 12 ENSDARP00000052659
ENSDARP00000052659 253  1-339
ENSDARP00000052659 255  1-339
:ENSDARG00000000906_1.txt  ---total Length:380 ---#hits =2 R: 12 NR: 12 ENSDARP00000052659
ENSDARP00000052659 252  1-339
ENSDARP00000052659 254  1-339
:ENSDARG00000000906_2.txt  ---total Length:383 ---#hits =1 R: 12 NR: 12 ENSDARP00000052659
ENSDARP00000052659 253  1-339
:ENSDARG00000000906_3.txt  ---total Length:380 ---#hits =2 R: 12 NR: 12 ENSDARP00000052659
ENSDARP00000052659 252  1-339
ENSDARP00000052659 253  1-339
:ENSDARG00000000966_110.txt  ---total Length:2826 ---#hits =3 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1255  4-1679
ENSDARP00000001475 1270  4-1679
ENSDARP00000001475 1393  4-1679
:ENSDARG00000000966_111.txt  ---total Length:2832 ---#hits =3 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1215  4-1679
ENSDARP00000001475 1274  4-1679
ENSDARP00000001475 1415  4-1679
:ENSDARG00000000966_112.txt  ---total Length:2823 ---#hits =3 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1251  4-1679
ENSDARP00000001475 1266  4-1679
ENSDARP00000001475 1389  4-1679
:ENSDARG00000000966_113.txt  ---total Length:2825 ---#hits =3 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1208  4-1679
ENSDARP00000001475 1267  4-1679
ENSDARP00000001475 1408  4-1679
:ENSDARG00000000966_114.txt  ---total Length:2818 ---#hits =2 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1258  4-1679
ENSDARP00000001475 1396  4-1679
:ENSDARG00000000966_115.txt  ---total Length:2817 ---#hits =2 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1264  4-1679
ENSDARP00000001475 1405  4-1679
:ENSDARG00000000966_116.txt  ---total Length:2802 ---#hits =3 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1251  4-1679
ENSDARP00000001475 1266  4-1679
ENSDARP00000001475 1389  4-1679
:ENSDARG00000000966_117.txt  ---total Length:2817 ---#hits =2 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1263  4-1679
ENSDARP00000001475 1404  4-1679
:ENSDARG00000000966_118.txt  ---total Length:2819 ---#hits =3 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1260  4-1679
ENSDARP00000001475 1275  4-1679
ENSDARP00000001475 1398  4-1679
:ENSDARG00000000966_119.txt  ---total Length:2824 ---#hits =2 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1271  4-1679
ENSDARP00000001475 1412  4-1679
:ENSDARG00000000966_161.txt  ---total Length:2827 ---#hits =1 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1409  4-1679
:ENSDARG00000000966_163.txt  ---total Length:2823 ---#hits =2 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1205  4-1679
ENSDARP00000001475 1405  4-1679
:ENSDARG00000000966_181.txt  ---total Length:2828 ---#hits =1 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1205  4-1679
:ENSDARG00000000966_260.txt  ---total Length:2814 ---#hits =3 R: 12 NR: 11 ENSDARP00000001475
